Name,Year,FIPS,Count,Solved
Alcona,1979,26001,1,0.0
Alcona,1980,26001,1,0.0
Alcona,1981,26001,1,1.0
Alcona,1985,26001,1,1.0
Alcona,1987,26001,1,1.0
Alcona,1988,26001,1,1.0
Alcona,1994,26001,1,0.0
Alcona,1995,26001,1,1.0
Alcona,2000,26001,2,1.0
Alcona,2005,26001,1,0.0
Alcona,2006,26001,1,1.0
Alcona,2007,26001,2,1.0
Alcona,2009,26001,1,0.0
Alcona,2010,26001,2,1.0
Alger,1982,26003,1,1.0
Alger,1984,26003,1,1.0
Alger,1987,26003,1,1.0
Alger,1988,26003,1,1.0
Alger,1994,26003,2,2.0
Alger,1995,26003,1,1.0
Alger,1999,26003,2,2.0
Alger,2005,26003,1,1.0
Alger,2006,26003,1,1.0
Alger,2012,26003,1,1.0
Alger,2014,26003,1,1.0
Allegan,1977,26005,1,1.0
Allegan,1978,26005,1,1.0
Allegan,1979,26005,2,2.0
Allegan,1980,26005,2,2.0
Allegan,1981,26005,1,1.0
Allegan,1982,26005,1,1.0
Allegan,1983,26005,2,2.0
Allegan,1984,26005,1,1.0
Allegan,1986,26005,4,3.0
Allegan,1987,26005,1,1.0
Allegan,1988,26005,3,3.0
Allegan,1989,26005,4,4.0
Allegan,1990,26005,2,2.0
Allegan,1993,26005,4,2.0
Allegan,1994,26005,1,1.0
Allegan,1995,26005,2,2.0
Allegan,1997,26005,2,2.0
Allegan,1998,26005,2,2.0
Allegan,1999,26005,4,4.0
Allegan,2000,26005,2,2.0
Allegan,2001,26005,2,2.0
Allegan,2002,26005,1,1.0
Allegan,2003,26005,1,1.0
Allegan,2004,26005,2,2.0
Allegan,2005,26005,2,1.0
Allegan,2007,26005,5,4.0
Allegan,2008,26005,1,1.0
Allegan,2009,26005,1,1.0
Allegan,2011,26005,1,1.0
Allegan,2012,26005,1,1.0
Allegan,2013,26005,2,1.0
Allegan,2014,26005,3,3.0
Allegan,2015,26005,5,5.0
Allegan,2016,26005,2,2.0
Alpena,1976,26007,1,0.0
Alpena,1978,26007,1,1.0
Alpena,1991,26007,3,3.0
Alpena,1993,26007,1,1.0
Alpena,1998,26007,1,1.0
Alpena,2001,26007,1,1.0
Alpena,2003,26007,3,2.0
Alpena,2004,26007,1,1.0
Alpena,2005,26007,2,2.0
Alpena,2006,26007,1,1.0
Alpena,2008,26007,1,0.0
Alpena,2009,26007,2,2.0
Alpena,2010,26007,2,2.0
Alpena,2012,26007,1,1.0
Alpena,2015,26007,1,1.0
Alpena,2016,26007,3,3.0
Antrim,1976,26009,2,2.0
Antrim,1982,26009,1,1.0
Antrim,1990,26009,1,1.0
Antrim,2001,26009,1,1.0
Antrim,2002,26009,1,0.0
Antrim,2006,26009,1,0.0
Antrim,2009,26009,1,1.0
Arenac,1976,26011,1,1.0
Arenac,1982,26011,1,1.0
Arenac,1993,26011,1,1.0
Arenac,1994,26011,1,1.0
Arenac,1997,26011,1,1.0
Arenac,1999,26011,1,1.0
Arenac,2002,26011,2,1.0
Arenac,2004,26011,2,2.0
Arenac,2016,26011,1,1.0
Baraga,1978,26013,1,1.0
Baraga,1991,26013,1,0.0
Baraga,1994,26013,1,1.0
Baraga,2009,26013,1,1.0
Barry,1976,26015,1,1.0
Barry,1978,26015,4,4.0
Barry,1981,26015,1,1.0
Barry,1982,26015,3,3.0
Barry,1984,26015,1,0.0
Barry,1985,26015,2,1.0
Barry,1986,26015,1,1.0
Barry,1987,26015,3,2.0
Barry,1988,26015,4,3.0
Barry,1989,26015,2,2.0
Barry,1992,26015,2,1.0
